kms_driven,owner,age,power,brand,actual_price,predicted_price
64800.0,1,13.0,150.0,5,30000.0,22508.68
4587.0,1,4.0,350.0,2,100000.0,155324.0
25560.0,1,12.0,180.0,1,22000.0,23592.88
15500.0,1,5.0,220.0,7,67000.0,68660.0
26000.0,1,6.0,150.0,4,40300.0,52012.37833333333
17281.0,1,3.0,125.0,7,45000.0,40846.22
36000.0,1,6.0,200.0,7,65000.0,72190.0
23500.0,2,5.0,220.0,7,60000.0,48887.9
21900.0,1,3.0,400.0,7,135000.0,136905.0
15000.0,1,3.0,350.0,2,150000.0,112501.0
9000.0,1,5.0,410.0,2,140000.0,124578.0
26000.0,1,4.0,150.0,5,70000.0,71647.0
11760.0,1,4.0,200.0,7,90000.0,93823.5
28922.0,1,13.0,350.0,2,58000.0,80208.0
11381.0,1,7.0,100.0,6,22000.0,30090.0
7000.0,1,2.0,150.0,4,125100.0,113653.33333333331
30000.0,1,10.0,160.0,1,30000.0,28441.5
37887.0,1,13.0,125.0,5,13000.0,15381.54
8000.0,1,2.0,500.0,2,172000.0,167245.1
5000.0,1,5.0,350.0,2,108000.0,130401.73333333334
6000.0,1,7.0,650.0,12,299300.0,409177.53333333327
15500.0,2,3.0,125.0,6,51000.0,50866.1
13008.0,1,3.0,125.0,7,30000.0,38839.03
8048.0,1,3.0,100.0,1,34000.0,45182.0
10841.0,1,3.0,100.0,7,34000.0,37275.0
22840.0,1,5.0,150.0,7,38000.0,63132.66666666667
65000.0,1,9.0,220.0,7,48000.0,33063.73
8903.0,1,7.0,250.0,14,185000.0,199371.0
4000.0,1,4.0,200.0,1,92000.0,92892.8
64000.0,1,7.0,220.0,7,40000.0,36413.9
174638.0,1,14.0,150.0,1,23000.0,19205.84
4455.0,1,4.0,200.0,1,64000.0,91623.6
48000.0,2,8.0,500.0,2,120000.0,100693.5
14000.0,1,6.0,500.0,2,160000.0,121296.0
14200.0,1,7.0,200.0,7,60000.0,48365.16666666668
17564.0,1,2.0,300.0,11,149292.0,165537.48333333337
20779.0,1,12.0,100.0,6,18000.0,17250.0
7000.0,2,3.0,180.0,1,70000.0,73740.0
10000.0,1,7.0,150.0,5,49000.0,45013.0
5655.0,1,5.0,200.0,7,110000.0,102942.0
27240.0,2,7.0,390.0,10,110000.0,97132.0
11700.0,1,4.0,390.0,10,200000.0,185652.755
16000.0,1,6.0,350.0,2,127000.0,115370.71428571429
3300.0,1,3.0,100.0,6,54000.0,50501.99
717.0,1,3.0,100.0,6,45000.0,51791.72
18672.0,1,3.0,100.0,7,34000.0,34466.34
10825.0,4,4.0,350.0,2,141000.0,101856.5
5432.0,2,6.0,350.0,2,74500.0,106776.97
12447.0,1,6.0,350.0,2,92000.0,114267.15333333332
24461.0,1,7.0,100.0,1,22500.0,22930.0
53190.0,1,10.0,180.0,7,20000.0,25997.81
21300.0,1,4.0,400.0,7,139000.0,110778.74999999999
16789.0,1,5.0,110.0,5,31000.0,39388.793333333335
12362.0,1,4.0,150.0,7,59000.0,47016.5
12580.0,1,6.0,125.0,6,27000.0,35836.1
10000.0,1,3.0,150.0,4,80000.0,97403.09682539683
23481.0,1,5.0,180.0,1,45000.0,46771.72
19000.0,1,10.0,180.0,7,31500.0,25329.0
22500.0,1,7.0,150.0,4,45000.0,70593.0
10000.0,1,4.0,110.0,5,45000.0,41570.1
9650.0,1,4.0,400.0,7,121000.0,140694.0
2000.0,1,2.0,200.0,10,180000.0,164730.0
25804.0,1,8.0,125.0,7,24000.0,23310.666666666664
50000.0,1,13.0,150.0,6,12800.0,16998.69
28279.0,2,9.0,500.0,2,90000.0,93974.52
35958.0,1,5.0,200.0,1,59999.0,61850.0
17700.0,1,4.0,390.0,10,180000.0,168823.0
3800.0,1,2.0,350.0,2,172000.0,136200.0
5541.0,1,4.0,500.0,2,128000.0,140357.0
